student_id,Age,Math_score,Science_score,English_score,Hours_studied,pass_fail
85,18,72,94,72,5.3,1
86,19,72,79,82,5.4,1
87,16,73,57,62,0.4,1
88,25,48,59,53,1.6,1
89,19,50,40,76,1.2,1
90,22,42,69,50,1.8,1
91,23,56,79,43,0.4,1
92,24,92,66,69,7.9,1
93,23,71,63,80,4.9,1
94,18,65,72,78,5.9,1
95,19,78,100,72,6.7,1
96,23,58,57,69,0.6,1
97,21,89,88,77,7.1,1
98,19,61,47,68,0.5,1
99,22,62,49,64,0.5,1
100,16,53,85,70,6.9,1
101,16,81,97,97,7.5,1
102,24,64,66,74,6.0,1
103,19,68,85,60,3.9,1
104,22,89,93,58,5.8,1
105,25,85,66,70,4.3,1
106,22,55,57,64,1.1,1
107,22,54,70,73,2.6,1
108,22,56,66,66,2.0,1
109,24,64,56,84,0.4,1
110,16,91,87,75,6.0,1
111,16,75,89,93,5.0,1
112,23,96,80,70,5.6,1
113,25,81,69,87,7.7,1
114,25,64,51,74,0.2,1
115,22,66,65,64,3.2,1
116,17,61,74,91,5.6,1
117,17,77,81,64,6.4,1
118,17,67,61,88,4.0,1
119,23,74,56,69,0.8,1
120,22,44,46,62,1.4,1
121,25,67,79,64,6.5,1
122,20,73,68,91,2.6,1
123,20,83,97,73,7.1,1
124,16,63,67,82,4.0,1
125,21,67,100,76,6.4,1
126,16,62,76,79,4.1,1
127,22,71,55,64,3.9,1
128,16,46,62,77,0.7,1
129,20,65,88,57,5.3,1
130,24,99,64,60,2.6,1
131,20,60,54,64,1.8,1
132,18,31,62,56,1.5,0
133,25,76,86,88,7.8,1
134,19,71,63,83,2.9,1
135,18,78,63,64,2.2,1
136,23,52,69,63,0.8,1
137,23,70,74,81,3.5,1
138,17,62,83,75,3.2,1
139,16,70,36,70,1.2,1
140,24,84,66,67,6.1,1
141,19,60,98,74,6.2,1
142,22,79,55,57,2.4,1
143,17,87,94,79,7.6,1
144,18,66,80,81,4.4,1
145,25,79,74,67,3.8,1
146,17,100,96,68,5.5,1
147,25,87,73,62,5.3,1
148,20,76,89,82,6.6,1
149,20,86,54,63,4.8,1
150,20,82,91,72,5.6,1
151,23,48,57,69,3.5,1
152,16,41,80,57,0.7,1
153,25,94,78,79,4.7,1
154,18,56,57,53,3.8,1
155,18,66,96,95,8.0,1
156,22,63,57,50,2.7,1
157,21,50,70,56,3.3,1
158,16,81,67,78,3.6,1
159,22,82,84,88,6.9,1
160,16,51,51,77,1.5,1
161,23,83,94,87,6.1,1
162,23,53,75,60,1.0,1
163,19,77,81,71,5.7,1
164,17,74,87,83,3.7,1
165,23,80,100,72,7.5,1
166,23,69,54,62,1.9,1
167,25,88,58,69,4.1,1
168,22,86,69,60,2.7,1
169,16,59,80,78,2.3,1
170,18,69,61,71,3.6,1
171,24,89,59,76,3.0,1
172,22,61,65,62,1.9,1
173,23,81,69,67,5.6,1
174,18,51,85,74,4.0,1
175,25,84,80,85,2.7,1
176,16,93,66,85,5.8,1
177,18,59,50,54,0.6,1
178,17,73,97,64,6.8,1
179,22,67,70,70,7.6,1
180,25,58,42,44,0.5,0
181,19,74,83,64,6.0,1
182,23,42,61,66,1.3,1
183,21,77,92,86,6.4,1
184,25,88,81,82,5.5,1
185,25,76,79,85,7.0,1
186,23,71,61,79,5.1,1
187,23,80,80,73,7.2,1
188,25,68,82,63,2.4,1
189,23,85,94,73,6.8,1
190,25,67,63,83,2.9,1
191,16,80,80,69,7.8,1
192,16,76,85,62,7.3,1
193,20,82,100,79,6.2,1
194,20,84,75,61,5.4,1
195,18,89,67,71,5.0,1
196,25,78,84,84,2.9,1
197,21,81,86,52,6.0,1
198,24,63,72,77,4.0,1
199,23,79,100,86,7.7,1
200,17,46,82,59,1.1,1
201,22,89,77,83,7.7,1
202,24,57,48,75,1.0,1
203,20,86,52,79,4.7,1
204,16,80,86,71,5.0,1
205,25,82,72,72,1.8,1
206,22,53,63,63,0.9,1
207,23,60,74,55,0.9,1
208,24,76,70,64,3.4,1
209,22,84,64,83,5.2,1
210,21,58,56,67,1.7,1
211,21,52,47,71,0.8,1
212,22,62,92,61,2.2,1
213,23,61,75,65,0.7,1
214,21,61,74,74,1.9,1
215,17,66,78,82,6.6,1
216,18,72,74,74,6.3,1
217,18,65,83,99,7.9,1
218,18,70,59,53,0.1,1
219,21,54,63,55,0.1,1
220,17,73,74,59,3.8,1
221,17,72,86,67,3.6,1
222,24,38,64,65,2.4,1
223,23,77,86,77,6.8,1
224,17,52,70,71,2.6,1
225,25,65,74,87,5.1,1
226,23,70,55,79,4.0,1
227,17,70,68,79,6.8,1
228,23,75,67,90,7.1,1
229,22,78,76,64,3.3,1
230,18,66,74,77,5.5,1
231,17,73,70,66,0.7,1
232,25,71,72,77,7.7,1
233,22,56,52,79,2.8,1
234,20,60,67,84,4.8,1
235,19,36,64,56,1.2,1
236,17,91,63,70,6.1,1
237,24,93,74,81,7.8,1
238,20,53,55,77,0.2,1
239,21,68,73,66,2.8,1
240,16,53,49,60,0.7,1
241,23,52,80,70,2.7,1
242,17,68,95,95,7.1,1
243,16,74,94,65,5.4,1
244,20,62,53,64,1.7,1
245,17,58,54,65,2.3,1
246,22,83,95,85,7.9,1
247,19,80,72,86,6.1,1
248,22,70,50,74,1.4,1
249,24,67,66,60,4.5,1
250,22,67,76,50,0.1,1
251,25,54,79,67,3.4,1
252,21,72,74,60,1.4,1
253,21,62,52,51,0.7,1
254,22,75,84,73,7.0,1
255,18,47,49,67,0.6,1
256,21,97,88,60,5.8,1
257,19,57,66,72,0.8,1
258,17,77,64,52,1.4,1
259,25,53,89,65,6.1,1
260,25,58,76,66,2.6,1
261,23,47,62,60,0.5,1
262,24,61,56,62,0.6,1
263,21,100,93,88,6.7,1
264,24,54,45,57,3.1,1
265,16,75,56,65,3.6,1
266,18,98,68,88,7.7,1
267,21,100,96,98,7.9,1
268,23,76,65,66,4.2,1
269,20,70,53,82,3.1,1
270,21,62,72,69,0.5,1
271,20,81,42,61,2.0,1
272,17,69,82,81,4.7,1
273,22,57,56,49,1.0,1
274,21,74,73,63,6.5,1
275,24,50,48,70,0.7,1
276,19,66,68,61,2.7,1
277,18,53,80,51,1.2,1
278,24,55,48,75,0.3,1
279,18,78,81,69,4.8,1
280,18,62,90,79,5.8,1
281,19,70,76,84,7.8,1
282,19,56,71,57,2.5,1
283,19,99,58,60,2.9,1
284,22,73,67,74,4.0,1
285,19,86,88,66,6.4,1
286,24,66,83,70,7.5,1
287,17,64,57,71,2.3,1
288,22,54,76,52,0.7,1
289,21,74,92,75,7.4,1
290,17,75,94,73,3.0,1
291,21,86,89,86,6.3,1
292,18,63,66,80,6.1,1
293,17,57,63,73,0.2,1
294,22,52,58,70,0.9,1
295,16,51,52,83,1.9,1
296,23,82,89,75,4.8,1
297,19,77,80,69,5.7,1
298,18,88,100,89,5.3,1
299,17,65,82,80,7.6,1
300,23,56,50,67,0.3,1
301,16,74,71,66,2.9,1
302,25,73,78,80,5.9,1
303,24,51,51,56,2.7,1
304,23,44,78,71,5.1,1
305,23,62,76,67,0.3,1
306,20,64,87,71,4.1,1
307,20,50,50,62,0.3,1
308,21,60,69,56,2.2,1
309,22,87,73,89,5.9,1
310,23,64,71,61,2.9,1
311,17,92,87,82,5.8,1
312,21,44,55,69,0.8,1
313,23,57,83,72,4.8,1
314,21,77,62,80,4.9,1
315,16,49,51,66,0.6,1
316,16,42,46,52,1.1,0
317,16,60,76,47,1.0,1
318,16,96,64,52,4.8,1
319,21,75,74,64,3.6,1
320,20,70,78,76,2.0,1
321,23,76,70,74,4.1,1
322,19,68,83,100,8.0,1
323,23,64,66,72,1.6,1
324,17,97,100,73,6.5,1
325,21,68,76,75,5.7,1
326,18,86,76,78,6.3,1
327,19,81,94,70,6.3,1
328,23,92,68,74,6.4,1
329,17,41,69,51,0.5,1
330,22,83,100,91,6.6,1
331,17,64,62,83,3.6,1
332,25,46,74,62,1.5,1
333,16,71,82,92,6.7,1
334,19,90,89,60,2.8,1
335,17,52,54,71,2.0,1
336,24,65,50,51,0.7,1
337,25,49,47,48,1.2,0
338,25,42,61,57,0.3,1
339,25,67,79,64,2.1,1
340,24,62,78,63,2.3,1
341,22,68,68,56,2.4,1
342,19,70,81,83,2.7,1
343,21,99,57,84,5.9,1
344,24,66,60,67,0.8,1
345,23,71,70,55,2.0,1
346,19,96,100,72,7.7,1
347,25,80,86,88,5.8,1
348,20,70,82,77,4.0,1
349,23,88,97,94,7.7,1
350,23,68,71,67,2.3,1
351,18,80,66,74,7.1,1
352,25,82,69,79,4.5,1
353,22,71,64,87,4.0,1
354,17,57,69,68,1.0,1
355,21,68,79,65,4.5,1
356,16,49,65,68,0.4,1
357,23,86,92,87,4.2,1
358,21,81,80,62,1.3,1
359,20,59,75,61,4.7,1
360,23,81,71,90,6.5,1
361,22,79,58,73,4.7,1
362,23,60,48,44,2.1,1
363,25,70,61,80,4.6,1
364,25,94,66,91,6.2,1
365,19,61,56,69,0.3,1
366,18,69,73,81,3.3,1
367,25,98,73,87,7.4,1
368,19,75,87,73,4.5,1
369,22,77,88,62,2.5,1
370,20,83,79,81,4.9,1
371,24,96,55,69,2.4,1
372,23,46,52,86,2.5,1
373,20,50,60,74,2.3,1
374,21,78,90,74,7.6,1
375,20,100,99,73,7.6,1
376,19,44,38,59,1.6,0
377,20,47,51,64,1.1,1
378,24,80,64,69,1.8,1
379,21,94,90,89,5.7,1
380,18,68,90,61,3.3,1
381,23,76,68,74,5.2,1
382,17,79,79,91,5.2,1
383,16,95,100,91,7.3,1
384,22,100,89,94,6.3,1
385,20,98,85,100,7.0,1
386,20,90,62,61,3.6,1
387,18,74,85,84,6.8,1
388,23,80,77,73,5.2,1
389,21,61,74,87,6.3,1
390,22,100,78,79,6.6,1
391,17,67,70,64,1.5,1
392,19,78,70,79,3.6,1
393,25,95,81,76,5.8,1
394,17,65,80,83,3.7,1
395,20,58,58,71,5.5,1
396,18,76,40,79,3.8,1
397,21,55,66,55,3.3,1
398,19,75,75,66,6.1,1
399,17,60,71,76,4.2,1
400,24,80,89,93,7.2,1
401,18,59,66,71,2.6,1
402,17,99,82,82,7.2,1
403,18,67,74,54,4.1,1
404,16,72,77,54,3.2,1
405,25,40,67,58,0.6,1
406,17,85,79,85,7.9,1
407,18,83,51,72,6.2,1
408,22,59,80,65,3.6,1
409,17,69,67,71,5.5,1
410,18,77,84,86,7.9,1
411,19,83,53,64,6.7,1
412,22,76,77,66,4.3,1
413,21,69,82,63,1.2,1
414,22,71,97,66,4.9,1
415,19,63,65,52,1.6,1
416,16,52,76,68,2.0,1
417,24,64,60,56,1.7,1
418,25,65,53,59,2.6,1
419,21,87,42,55,1.9,1
420,20,55,80,54,0.5,1
421,18,62,82,98,5.0,1
422,22,75,77,88,6.3,1
423,18,70,79,67,2.4,1
424,18,89,94,72,6.4,1
425,22,78,81,77,4.5,1
426,23,98,98,89,6.8,1
427,19,44,69,64,0.4,1
428,25,79,68,73,5.8,1
429,21,71,62,73,2.4,1
430,23,100,80,67,7.3,1
431,22,64,80,72,7.3,1
432,21,75,52,83,2.5,1
433,23,71,58,74,0.8,1
434,21,42,88,73,2.5,1
435,18,40,52,58,0.1,1
436,19,55,52,80,2.6,1
437,23,82,71,74,4.4,1
438,23,55,70,61,3.7,1
439,18,51,81,63,5.8,1
440,16,67,76,69,4.2,1
441,16,59,92,80,6.1,1
442,16,80,60,66,1.7,1
443,25,83,84,71,7.3,1
444,16,69,69,99,4.2,1
445,16,66,61,77,4.0,1
446,17,69,74,86,4.2,1
447,20,79,93,72,6.5,1
448,25,71,61,57,1.9,1
449,17,88,63,83,5.2,1
450,24,76,61,59,3.8,1
451,17,51,80,53,4.0,1
452,17,74,92,78,7.2,1
453,25,74,73,90,3.8,1
454,25,64,87,93,5.3,1
455,16,68,78,80,7.7,1
456,17,52,53,62,2.4,1
457,22,65,75,75,5.4,1
458,17,49,76,71,4.0,1
459,22,77,71,55,1.9,1
460,21,45,52,91,0.2,1
461,23,51,60,70,1.8,1
462,22,72,45,49,0.7,1
463,17,68,74,51,0.7,1
464,21,51,90,81,2.9,1
465,23,65,74,72,2.9,1
466,24,83,77,74,4.1,1
467,24,49,54,55,0.7,1
468,22,86,79,65,6.2,1
469,19,79,84,79,4.6,1
470,23,67,66,70,1.2,1
471,20,78,76,72,3.9,1
472,25,91,70,76,4.9,1
473,16,77,100,85,7.6,1
474,21,58,77,57,3.4,1
475,25,46,85,65,1.1,1
476,22,95,83,97,7.7,1
477,23,87,78,79,7.7,1
478,21,79,47,57,0.9,1
479,24,60,60,60,1.4,1
480,19,40,66,85,3.5,1
481,22,83,85,76,5.4,1
482,22,87,100,92,6.3,1
483,23,47,70,81,4.7,1
484,16,71,67,95,6.3,1
485,24,79,73,74,4.8,1
486,18,93,100,83,5.2,1
487,22,75,100,86,7.7,1
488,19,74,59,70,4.1,1
489,25,52,72,58,1.8,1
490,18,49,73,69,2.8,1
491,22,100,97,81,7.4,1
492,21,58,74,81,3.6,1
493,23,55,48,65,0.8,1
494,17,57,54,64,0.2,1
495,18,83,73,73,7.4,1
496,22,82,89,93,7.7,1
497,18,54,53,62,1.5,1
498,23,49,62,84,4.7,1
499,19,57,47,50,2.2,1
500,24,50,57,74,1.5,1
501,20,45,80,72,5.4,1
502,22,84,63,89,4.7,1
503,25,50,45,75,1.4,1
504,18,57,67,72,2.5,1
505,21,64,78,82,5.5,1
506,18,79,48,66,3.9,1
507,18,66,74,68,4.4,1
508,16,94,96,77,6.9,1
509,19,94,80,64,6.5,1
510,22,78,73,79,5.7,1
511,25,56,48,58,0.2,1
512,18,94,64,71,6.2,1
513,23,77,78,76,4.4,1
514,21,50,74,56,4.3,1
515,23,78,74,81,4.4,1
516,20,65,93,82,7.0,1
517,17,89,70,71,3.5,1
518,25,98,88,65,5.5,1
519,22,65,67,64,1.3,1
520,21,76,68,69,4.3,1
521,20,61,87,81,2.3,1
522,17,57,61,53,1.1,1
523,16,90,84,88,7.9,1
524,21,74,84,64,6.6,1
525,23,48,49,60,1.1,1
526,17,71,69,54,3.2,1
527,21,53,72,83,3.6,1
528,17,61,64,81,5.8,1
529,21,85,73,98,6.8,1
530,23,58,70,58,2.1,1
531,25,71,45,76,1.0,1
532,16,45,62,51,0.8,1
533,17,91,96,92,7.4,1
534,18,82,78,100,7.1,1
535,20,54,63,54,0.7,1
536,16,52,63,84,3.2,1
537,19,73,73,71,3.4,1
538,25,66,63,64,1.8,1
539,21,93,82,82,6.5,1
540,22,61,61,57,0.7,1
541,21,96,99,81,7.0,1
542,18,50,45,56,0.5,1
543,18,66,55,76,3.5,1
544,23,92,88,83,6.9,1
545,17,50,94,71,4.7,1
546,20,81,77,89,5.2,1
547,25,66,65,78,2.3,1
548,19,51,55,71,4.1,1
549,20,80,58,76,5.2,1
550,19,82,61,65,4.0,1
551,16,92,86,92,7.9,1
552,21,60,80,83,4.4,1
553,17,63,60,63,0.1,1
554,22,72,64,63,4.1,1
555,22,54,79,64,3.4,1
556,17,63,59,67,2.5,1
557,18,59,84,80,4.3,1
558,17,49,41,76,2.5,1
559,19,67,65,48,0.5,1
560,20,80,74,70,5.3,1
561,16,75,73,88,5.7,1
562,20,55,75,76,1.3,1
563,20,97,96,72,5.9,1
564,24,67,55,48,0.5,1
565,17,66,72,75,4.0,1
566,18,57,76,73,2.0,1
567,17,58,64,70,1.8,1
568,23,59,74,65,2.9,1
569,16,89,65,65,4.4,1
570,22,89,77,98,7.3,1
571,25,41,68,76,3.0,1
572,16,100,98,87,7.6,1
573,20,77,86,69,6.2,1
574,20,76,69,86,4.5,1
575,23,100,61,71,2.9,1
576,24,60,81,79,6.1,1
577,22,39,53,60,0.2,1
578,21,53,45,43,0.0,0
579,20,49,58,58,0.8,1
580,18,78,100,89,5.7,1
581,24,78,62,69,3.3,1
582,24,43,63,59,1.1,1
583,25,53,54,56,0.5,1
584,22,100,78,68,5.6,1
585,20,68,62,66,1.9,1
586,17,54,51,66,1.3,1
587,24,68,56,49,2.9,1
588,17,65,54,46,1.3,1
589,25,61,49,67,0.3,1
590,21,72,78,72,3.2,1
591,18,44,64,60,0.2,1
592,23,49,61,57,0.8,1
593,16,87,82,84,6.6,1
594,17,63,74,92,4.7,1
595,16,92,100,85,8.0,1
596,21,54,64,61,1.0,1
597,25,66,58,62,3.5,1
598,21,70,67,72,1.7,1
599,18,49,52,58,0.3,1
600,24,82,81,76,3.8,1
601,22,72,54,52,1.6,1
602,16,70,90,74,7.9,1
603,24,71,93,75,6.3,1
604,16,73,71,88,2.6,1
605,20,71,58,65,0.5,1
606,18,20,55,55,0.8,0
607,16,94,76,88,6.1,1
608,18,59,45,54,1.4,1
609,21,100,89,94,7.3,1
610,25,80,97,67,7.6,1
611,23,73,76,85,4.3,1
612,16,77,98,72,4.2,1
613,19,76,88,86,6.5,1
614,16,32,36,49,0.2,0
615,17,100,62,63,6.8,1
616,22,94,70,81,4.7,1
617,18,62,86,68,5.9,1
618,24,77,96,68,5.5,1
619,19,80,68,75,5.3,1
620,18,68,100,69,5.8,1
621,22,84,70,84,6.8,1
622,25,71,40,55,1.8,1
623,18,75,72,61,2.6,1
624,17,96,74,65,6.6,1
625,21,68,79,77,3.6,1
626,17,82,91,80,5.8,1
627,22,96,79,74,7.8,1
628,17,91,86,67,6.6,1
629,19,80,71,61,1.3,1
630,17,67,64,70,0.6,1
631,17,76,71,61,4.4,1
632,23,68,64,82,5.6,1
633,25,86,89,83,7.1,1
634,24,85,79,69,5.8,1
635,20,74,72,56,2.4,1
636,16,62,60,72,2.9,1
637,25,76,76,53,3.8,1
638,23,57,80,89,6.8,1
639,23,82,100,74,7.2,1
640,22,74,60,71,3.0,1
641,23,71,53,75,2.1,1
642,17,72,52,72,0.7,1
643,25,73,68,39,1.8,1
644,23,68,76,82,4.6,1
645,22,80,73,96,7.2,1
646,25,47,73,60,1.2,1
647,18,88,82,56,7.8,1
648,22,77,66,59,1.6,1
649,25,85,52,75,2.1,1
650,22,77,82,63,4.4,1
651,16,69,72,69,6.3,1
652,18,79,50,60,4.5,1
653,17,79,84,79,7.4,1
654,21,97,83,95,7.0,1
655,25,83,78,83,4.9,1
656,22,69,65,55,0.3,1
657,19,47,59,54,0.4,1
658,20,72,78,51,2.5,1
659,17,87,97,82,7.8,1
660,21,43,52,73,2.2,1
661,19,79,65,58,3.5,1
662,21,82,76,79,6.6,1
663,20,60,90,64,5.7,1
664,18,58,73,47,1.5,1
665,19,66,61,63,0.3,1
666,23,81,69,68,4.0,1
667,16,49,65,76,1.9,1
668,24,62,80,86,2.8,1
669,17,58,70,43,2.3,1
670,19,62,73,68,5.2,1
671,22,92,51,67,4.1,1
672,18,63,76,74,5.2,1
673,20,92,70,72,4.9,1
674,22,72,76,82,6.8,1
675,20,82,68,85,5.4,1
676,21,81,67,68,4.5,1
677,17,65,80,68,3.9,1
678,20,69,54,63,1.5,1
679,16,85,68,71,6.4,1
680,16,60,86,75,5.2,1
681,22,66,55,87,3.2,1
682,21,77,82,89,5.8,1
683,23,77,74,92,7.3,1
684,24,41,67,67,1.4,1
685,20,53,71,97,5.8,1
686,17,53,67,85,1.8,1
687,22,75,89,73,6.3,1
688,23,79,48,51,0.4,1
689,25,68,51,68,0.6,1
690,20,59,74,65,3.3,1
691,19,91,65,73,2.7,1
692,18,79,66,79,6.2,1
693,18,77,71,71,2.5,1
694,25,99,62,79,6.1,1
695,17,47,65,52,1.0,1
696,16,62,61,70,0.3,1
697,16,84,71,82,7.1,1
698,19,62,71,59,1.8,1
699,17,61,65,73,3.1,1
700,20,60,58,69,3.6,1
701,22,94,85,88,7.1,1
702,19,53,78,53,1.3,1
703,16,61,58,64,1.8,1
704,18,43,56,45,1.0,0
705,22,82,98,100,7.0,1
706,17,87,94,77,5.2,1
707,22,75,77,68,3.6,1
708,16,56,58,54,2.4,1
709,20,71,66,84,5.0,1
710,25,50,64,65,0.9,1
711,19,78,56,83,4.9,1
712,22,62,79,70,2.4,1
713,19,68,79,80,5.5,1
714,17,82,80,75,6.7,1
715,17,96,89,90,6.2,1
716,23,76,85,94,7.9,1
717,17,97,67,69,6.5,1
718,22,92,95,87,5.9,1
719,16,66,69,50,0.1,1
720,25,85,64,56,2.1,1
721,21,36,79,63,1.5,1
722,23,92,70,64,6.4,1
723,17,54,30,65,1.1,0
724,25,65,61,67,3.9,1
725,25,65,71,61,3.0,1
726,18,49,49,73,3.9,1
727,23,55,68,56,0.4,1
728,25,60,84,100,5.8,1
729,21,65,59,57,4.2,1
730,23,74,63,59,2.8,1
731,24,82,84,92,7.1,1
732,23,76,87,77,6.8,1
733,23,60,75,55,2.6,1
734,22,67,70,80,3.2,1
735,25,77,62,79,3.6,1
736,16,67,48,69,0.8,1
737,16,89,56,66,6.6,1
738,24,42,51,43,1.7,0
739,21,90,64,71,6.6,1
740,25,88,62,58,3.8,1
741,17,57,59,53,0.8,1
742,20,86,70,76,4.4,1
743,18,79,56,65,3.9,1
744,19,65,72,60,1.5,1
745,23,85,92,79,6.6,1
746,25,55,70,56,1.0,1
747,25,94,97,79,7.6,1
748,22,81,70,81,6.7,1
749,18,87,96,88,5.5,1
750,25,94,74,81,7.1,1
751,25,84,77,100,7.3,1
752,23,73,92,89,6.4,1
753,24,57,45,61,2.4,1
754,19,34,56,58,1.6,0
755,21,97,99,88,7.4,1
756,24,76,77,81,5.6,1
757,21,48,61,69,4.5,1
758,24,46,77,52,2.3,1
759,24,55,63,70,0.9,1
760,18,89,86,78,7.9,1
761,16,71,96,94,5.5,1
762,17,79,70,63,4.9,1
763,19,70,77,81,5.9,1
764,20,56,89,79,5.5,1
765,22,96,86,81,7.7,1
766,20,60,78,50,1.6,1
767,23,97,74,69,6.6,1
768,24,62,86,92,5.9,1
769,19,72,81,69,2.4,1
770,24,65,69,65,1.0,1
771,20,51,56,55,1.0,1
772,18,72,71,55,0.3,1
773,25,75,100,76,6.7,1
774,21,70,86,69,4.2,1
775,24,48,59,51,1.3,1
776,21,85,60,91,2.6,1
777,25,94,73,73,4.2,1
778,21,69,83,63,3.6,1
779,25,87,70,52,2.0,1
780,17,81,60,67,3.1,1
781,24,66,97,76,6.6,1
782,19,66,71,70,2.6,1
783,24,66,68,68,4.3,1
784,22,75,89,98,6.7,1
785,22,94,71,81,5.2,1
786,21,67,64,63,0.3,1
787,20,65,71,72,4.5,1
788,22,80,87,72,3.5,1
789,24,54,53,59,0.0,1
790,17,62,59,68,2.9,1
791,20,69,100,61,4.9,1
792,16,85,66,70,3.8,1
793,22,86,75,73,6.4,1
794,21,78,100,84,7.7,1
795,18,75,61,39,1.0,1
796,20,55,62,49,1.7,1
797,19,59,59,73,3.3,1
798,20,68,71,81,1.6,1
799,16,100,69,68,6.8,1
800,20,80,78,82,5.4,1
801,25,67,77,69,3.9,1
802,25,52,63,72,0.6,1
803,21,69,90,65,4.9,1
804,21,81,92,90,7.7,1
805,19,71,72,67,5.7,1
806,21,96,74,83,7.0,1
807,20,83,82,78,3.9,1
808,18,88,91,96,7.1,1
809,17,96,66,65,5.8,1
810,25,51,49,57,3.2,1
811,24,75,56,63,2.1,1
812,22,56,66,49,1.8,1
813,20,54,61,62,1.1,1
814,19,83,89,67,6.8,1
815,18,83,86,66,6.1,1
816,18,72,70,78,5.9,1
817,19,80,89,79,6.1,1
818,24,100,78,90,7.3,1
819,23,100,89,100,7.1,1
820,20,100,82,92,6.7,1
821,18,55,79,72,3.0,1
822,20,64,80,62,3.0,1
823,21,69,99,80,6.5,1
824,18,68,72,82,3.5,1
825,20,66,73,64,1.7,1
826,19,62,67,74,3.3,1
827,23,55,63,65,3.8,1
828,18,78,83,85,4.6,1
829,16,87,90,91,7.1,1
830,22,67,74,73,4.8,1
831,20,88,100,71,7.6,1
832,19,83,67,69,6.6,1
833,18,67,76,66,5.0,1
834,25,48,77,83,4.7,1
835,17,29,53,52,0.1,0
836,25,37,45,64,0.8,0
837,16,63,81,93,7.0,1
838,25,81,100,73,4.3,1
839,22,69,76,65,4.2,1
840,23,78,71,87,6.3,1
841,25,67,69,64,0.8,1
842,20,97,68,72,4.8,1
843,16,81,65,77,5.7,1
844,19,77,74,85,5.5,1
845,18,60,66,57,3.4,1
846,25,60,58,51,2.2,1
847,22,65,72,62,4.4,1
848,20,68,77,63,4.6,1
849,18,71,68,65,6.8,1
850,18,64,40,61,0.8,1
851,24,73,73,63,4.9,1
852,17,92,68,82,6.6,1
853,17,57,63,71,0.5,1
854,22,77,59,72,4.9,1
855,25,58,52,60,0.5,1
856,24,64,80,69,2.3,1
857,24,63,68,67,5.6,1
858,18,71,57,72,0.7,1
859,22,68,71,63,3.2,1
860,24,38,77,47,2.3,1
861,21,69,60,79,2.8,1
862,22,70,74,84,4.6,1
863,17,62,74,82,4.5,1
864,20,92,90,68,7.0,1
865,23,66,80,84,7.7,1
866,23,46,96,64,5.5,1
867,23,74,67,77,0.9,1
868,19,79,73,84,6.4,1
869,24,59,50,72,0.1,1
870,21,67,70,57,0.6,1
